"Year","state","fmhpi"
1984,"KS",58.89507620075
1985,"KS",59.4135757845
1986,"KS",61.1634914016667
1987,"KS",62.62864921
1988,"KS",63.3398663774167
1989,"KS",64.2119890194167
1990,"KS",64.3746975419167
1991,"KS",65.1836855544167
1992,"KS",66.9678575901667
1993,"KS",70.6147104395
1994,"KS",75.04259042075
1995,"KS",77.830799356
1996,"KS",81.52705680775
1997,"KS",84.6786581473333
1998,"KS",89.39332409525
1999,"KS",94.7084258878333
2000,"KS",98.69605295125
2001,"KS",102.505594255833
2002,"KS",106.5268136
2003,"KS",110.3494813525
2004,"KS",114.558453480833
2005,"KS",118.664210739167
2006,"KS",122.7685715575
2007,"KS",124.879492343333
2008,"KS",123.442287179167
2009,"KS",121.800339025833
2010,"KS",120.486089934167
2011,"KS",116.496293204167
2012,"KS",118.051287935
2013,"KS",122.139158670833
2014,"KS",126.706666330833
2015,"KS",131.542567324167
2016,"KS",137.45525085
2017,"KS",143.717544878333
2018,"KS",150.5137966525
2019,"KS",156.601720541667
2020,"KS",168.456284411667
2021,"KS",187.872311187778
1975,"KY",32.6082779136667
1976,"KY",34.1039328595
1977,"KY",37.53573488975
1978,"KY",41.3236943504167
1979,"KY",45.550176892
1980,"KY",47.8016039605
1981,"KY",47.8015422371667
1982,"KY",48.6142734556667
1983,"KY",50.6181094910833
1984,"KY",51.7704915308333
1985,"KY",53.1826843099167
1986,"KY",55.1539145961667
1987,"KY",58.192030209
1988,"KY",60.8555823961667
1989,"KY",63.4838466374167
1990,"KY",65.48181154675
1991,"KY",67.28302958
1992,"KY",70.1214871696667
1993,"KY",73.09259020575
1994,"KY",77.1503398490833
1995,"KY",80.4489260565833
1996,"KY",83.7153545491667
1997,"KY",87.03014123525
1998,"KY",90.169801237
1999,"KY",94.41325687
2000,"KY",98.8441942085
2001,"KY",101.578653674167
2002,"KY",105.094181356667
2003,"KY",109.142512076667
2004,"KY",113.938466211667
2005,"KY",118.588845631667
2006,"KY",122.6036704775
2007,"KY",123.875217321667
2008,"KY",122.6916173425
2009,"KY",120.122769470833
2010,"KY",119.537061225
2011,"KY",117.166293571667
2012,"KY",118.11561812
2013,"KY",121.185809263333
2014,"KY",124.839786351667
2015,"KY",129.154619525833
2016,"KY",134.4045394475
2017,"KY",141.8522404575
2018,"KY",148.838624390833
2019,"KY",155.197155524167
2020,"KY",166.078405385
2021,"KY",187.036879701111
1975,"LA",34.66594693525
1976,"LA",37.8096120935833
1977,"LA",42.30336020975
1978,"LA",49.6326354031667
1979,"LA",57.4989676189167
1980,"LA",62.0083198495833
1981,"LA",66.4921520349167
1982,"LA",69.5338308585
1983,"LA",71.0677675320833
1984,"LA",71.7763928339167
1985,"LA",69.95494440225
1986,"LA",68.2545359393333
1987,"LA",65.5824115405
1988,"LA",62.0886420305833
1989,"LA",61.9063160203333
1990,"LA",62.9384235913333
1991,"LA",64.42134970775
1992,"LA",68.3482724963333
1993,"LA",71.7130641183333
1994,"LA",76.3121270455
1995,"LA",79.28544667225
1996,"LA",83.5126506765
1997,"LA",87.18153977275
1998,"LA",91.41954162525
1999,"LA",94.9309109873333
2000,"LA",98.7335403096667
2001,"LA",101.898515500833
2002,"LA",106.241106551667
2003,"LA",111.4261623625
2004,"LA",118.667556516667
2005,"LA",127.4486145625
2006,"LA",140.985985478333
2007,"LA",145.8944308425
2008,"LA",143.584732855833
2009,"LA",140.8129763275
2010,"LA",139.611192861667
2011,"LA",137.304747469167
2012,"LA",138.2952936225
2013,"LA",144.078605118333
2014,"LA",148.076210831667
2015,"LA",153.135669224167
2016,"LA",157.892489240833
2017,"LA",162.941947055833
2018,"LA",166.495650141667
2019,"LA",170.019035204167
2020,"LA",177.382287408333
2021,"LA",191.367326045556
1975,"MA",15.6407065583333
1976,"MA",16.1415542254167
1977,"MA",17.19462290825
1978,"MA",18.952975641
1979,"MA",21.851442698
1980,"MA",24.153813733
1981,"MA",26.78290833775
1982,"MA",28.0856348219167
1983,"MA",31.2507622706667
1984,"MA",37.5093397775
1985,"MA",47.6304437128333
1986,"MA",59.80902722575
1987,"MA",68.52054916625
1988,"MA",71.353735425
1989,"MA",71.57210863525
1990,"MA",68.8407172486667
1991,"MA",63.8620797856667
1992,"MA",62.3867411875
1993,"MA",60.4954899978333
1994,"MA",61.6780544133333
1995,"MA",62.76833997725
1996,"MA",64.9196615346667
1997,"MA",68.1481923720833
1998,"MA",74.0304085950833
1999,"MA",82.3822227085833
2000,"MA",94.07233885775
2001,"MA",106.531790334167
2002,"MA",119.859403985
2003,"MA",132.828803645833
2004,"MA",145.480454073333
2005,"MA",154.588762431667
2006,"MA",152.0776835375
2007,"MA",146.133625658333
2008,"MA",137.345012709167
2009,"MA",131.860916644167
2010,"MA",132.042778239167
2011,"MA",128.095993245833
2012,"MA",127.939567860833
2013,"MA",135.8018443575
2014,"MA",142.595868199167
2015,"MA",148.6116379275
2016,"MA",156.379057805
2017,"MA",166.411153445
2018,"MA",176.077360298333
2019,"MA",182.612261933333
2020,"MA",195.724977634167
2021,"MA",221.798430274444
1975,"MD",27.2234772213333
1976,"MD",29.3232645753333
1977,"MD",31.8487744014167
1978,"MD",35.0491497074167
1979,"MD",38.8665586829167
1980,"MD",42.49113651525
1981,"MD",46.0184699069167
1982,"MD",46.9308705399167
1983,"MD",47.9071681678333
1984,"MD",50.576346442
1985,"MD",53.3014896596667
1986,"MD",57.6038788896667
1987,"MD",64.4573485675
1988,"MD",72.0875623355
1989,"MD",79.27128056
1990,"MD",82.7309394170833
1991,"MD",82.6740969821667
1992,"MD",83.6926900721667
1993,"MD",83.3500263709167
1994,"MD",83.8297142095833
1995,"MD",83.76843623375
1996,"MD",84.1903666179167
1997,"MD",84.51739606225
1998,"MD",86.2471455715833
1999,"MD",90.7544471176667
2000,"MD",96.717081633
2001,"MD",105.312453424167
2002,"MD",118.6404322075
2003,"MD",136.947762219167
2004,"MD",161.874260443333
2005,"MD",193.6842786975
2006,"MD",208.667075389167
2007,"MD",205.95583435
2008,"MD",185.439643361667
2009,"MD",167.877551926667
2010,"MD",161.96604534
2011,"MD",155.613474649167
2012,"MD",157.137881685833
2013,"MD",166.058027278333
2014,"MD",170.047020531667
2015,"MD",172.203783875833
2016,"MD",176.838643121667
2017,"MD",184.513357980833
2018,"MD",191.2636205525
2019,"MD",195.251655755833
2020,"MD",207.190703884167
2021,"MD",231.811073333333
1975,"ME",28.3678154556667
1976,"ME",28.4150402645
1977,"ME",29.8894933108333
1978,"ME",34.8599054576667
1979,"ME",36.45038479
1980,"ME",37.5893705065
1981,"ME",40.7879861956667
1982,"ME",38.6394798213333
1983,"ME",42.62203407425
1984,"ME",47.8061254475
1985,"ME",53.7148391870833
1986,"ME",61.43966292725
1987,"ME",72.1883137743333
1988,"ME",80.4188338144167
1989,"ME",83.9843498904167
1990,"ME",82.2034856388333
